Metropolitan Area (MSA),UHII Level,# ZIP Codes,# Hospitalizations,99th Temp. %ile (°C),MHT (°C) (95% CI),RR (99th vs. MHP) (95% CI),AN (Temp.  ≥ MHP) (95% CI),"Annual AR (Per 100,000 Beneficiaries) (95% CI)"
"Akron, OH",Overall,42,"260,314",26.8,"23.8 (23.3, 24.7)","0.983 (0.921, 1.049)","-198 (-302, -93)","-11.20 (-17.13, -5.25)"
"Akron, OH",Low UHII,16,"81,530",26.8,"24.0 (22.7, 30.0)","0.989 (0.890, 1.100)","-31 (-118, 51)","-5.37 (-20.33, 8.84)"
"Akron, OH",High UHII,9,"26,081",26.8,"23.8 (23.3, 24.7)","1.020 (0.925, 1.125)","10 (-32, 49)","6.77 (-21.15, 32.32)"
"Albany-Schenectady-Troy, NY",Overall,62,"230,219",25.6,"22.4 (21.9, 23.5)","0.991 (0.937, 1.047)","-194 (-285, -108)","-10.31 (-15.13, -5.72)"
"Albany-Schenectady-Troy, NY",Low UHII,30,"78,641",25.6,"22.7 (21.3, 30.6)","1.013 (0.927, 1.107)","-2 (-61, 61)","-0.31 (-8.66, 8.66)"
"Albany-Schenectady-Troy, NY",High UHII,11,"36,983",25.7,"22.5 (22.0, 23.6)","1.011 (0.934, 1.095)","-12 (-64, 34)","-4.20 (-22.65, 12.06)"
"Albuquerque, NM",Overall,46,"107,100",27.8,"25.1 (24.6, 26.0)","0.992 (0.930, 1.058)","-24 (-91, 41)","-1.44 (-5.50, 2.49)"
"Albuquerque, NM",Low UHII,24,"52,204",27.8,"25.3 (24.1, 31.6)","1.008 (0.921, 1.104)","10 (-63, 76)","1.26 (-7.55, 9.13)"
"Albuquerque, NM",High UHII,-,-,-,-,-,-,-
"Allentown-Bethlehem-Easton, PA-NJ",Overall,61,"337,341",27.5,"24.2 (23.7, 25.1)","0.966 (0.919, 1.015)","-402 (-509, -289)","-20.07 (-25.42, -14.45)"
"Allentown-Bethlehem-Easton, PA-NJ",Low UHII,30,"95,160",27.3,"24.4 (23.0, 32.4)","0.943 (0.869, 1.023)","-172 (-238, -107)","-30.29 (-41.84, -18.85)"
"Allentown-Bethlehem-Easton, PA-NJ",High UHII,9,"40,752",27.6,"24.4 (23.8, 25.2)","1.045 (0.964, 1.132)","59 (-5, 116)","26.14 (-2.15, 51.33)"
"Anaheim-Santa Ana-Irvine, CA",Overall,132,"497,069",27,"23.9 (23.4, 24.8)","0.923 (0.870, 0.980)","-1,537 (-1,666, -1,406)","-25.58 (-27.72, -23.39)"
"Anaheim-Santa Ana-Irvine, CA",Low UHII,34,"161,600",26.7,"23.8 (22.6, 30.2)","0.952 (0.854, 1.061)","-314 (-464, -180)","-15.93 (-23.55, -9.14)"
"Anaheim-Santa Ana-Irvine, CA",High UHII,7,"24,157",27.2,"24.1 (23.6, 25.0)","1.061 (0.941, 1.196)","69 (2, 134)","23.82 (0.61, 46.3)"
"Atlanta-Sandy Springs-Roswell, GA",Overall,215,"858,992",29.2,"26.8 (26.4, 27.6)","0.982 (0.953, 1.012)","-804 (-884, -723)","-10.80 (-11.87, -9.72)"
"Atlanta-Sandy Springs-Roswell, GA",Low UHII,65,"345,424",29,"26.9 (25.9, 33.0)","1.067 (1.022, 1.114)","870 (787, 946)","30.25 (27.36, 32.88)"
"Atlanta-Sandy Springs-Roswell, GA",High UHII,35,"70,647",29.4,"26.9 (26.5, 27.7)","0.963 (0.899, 1.031)","-134 (-183, -90)","-22.87 (-31.39, -15.39)"
"Augusta-Richmond County, GA-SC",Overall,26,"116,006",30.2,"27.5 (27.1, 28.3)","1.047 (0.957, 1.145)","180 (86, 275)","19.34 (9.22, 29.60)"
"Augusta-Richmond County, GA-SC",Low UHII,16,"62,283",30.2,"27.7 (26.8, 32.4)","1.072 (0.944, 1.217)","178 (97, 262)","34.76 (18.95, 51.23)"
"Augusta-Richmond County, GA-SC",High UHII,2,637,30.2,"27.6 (27.2, 28.3)","1.045 (0.887, 1.232)","1 (-1, 3)","18.36 (-21.94, 55.28)"
"Austin-Round Rock, TX",Overall,85,"222,193",31.7,"29.7 (29.3, 30.3)","0.986 (0.938, 1.037)","-150 (-215, -92)","-8.00 (-11.50, -4.95)"
"Austin-Round Rock, TX",Low UHII,27,"72,174",31.6,"29.8 (28.9, 35.2)","0.978 (0.906, 1.055)","-55 (-106, -3)","-8.23 (-15.81, -0.47)"
"Austin-Round Rock, TX",High UHII,4,"8,086",31.8,"29.7 (29.3, 30.3)","1.061 (0.949, 1.186)","17 (-6, 39)","28.71 (-10.03, 65.45)"
"Bakersfield, CA",Overall,21,"74,753",32.1,"28.5 (28.0, 29.5)","1.067 (0.974, 1.168)","175 (104, 251)","22.00 (13.02, 31.41)"
"Bakersfield, CA",Low UHII,17,"64,000",32,"28.7 (27.4, 35.5)","1.076 (0.960, 1.206)","150 (72, 224)","22.19 (10.64, 33.06)"
"Bakersfield, CA",High UHII,-,-,-,-,-,-,-
"Baltimore-Columbia-Towson, MD",Overall,131,"911,582",29.4,"26.1 (25.6, 27.0)","1.069 (1.032, 1.107)","2,187 (2,037, 2,319)","38.42 (35.79, 40.75)"
"Baltimore-Columbia-Towson, MD",Low UHII,54,"190,704",29.3,"26.3 (25.0, 33.5)","0.997 (0.931, 1.067)","-3 (-89, 79)","-0.21 (-6.06, 5.39)"
"Baltimore-Columbia-Towson, MD",High UHII,23,"268,597",29.6,"26.2 (25.7, 27.2)","1.088 (1.032, 1.147)","837 (721, 965)","62.14 (53.56, 71.68)"
"Baton Rouge, LA",Overall,45,"142,190",30,"28.2 (27.9, 28.8)","0.958 (0.898, 1.022)","-211 (-272, -149)","-17.71 (-22.89, -12.51)"
"Baton Rouge, LA",Low UHII,19,"50,822",30,"28.4 (27.6, 31.9)","1.000 (0.905, 1.106)","-10 (-69, 41)","-2.56 (-16.83, 10.10)"
"Baton Rouge, LA",High UHII,8,"32,824",30,"28.2 (27.9, 28.8)","0.959 (0.875, 1.051)","-30 (-84, 18)","-10.94 (-30.03, 6.45)"
"Birmingham-Hoover, AL",Overall,73,"236,810",29.5,"27.1 (26.7, 27.8)","1.038 (0.980, 1.100)","217 (142, 290)","11.95 (7.83, 15.96)"
"Birmingham-Hoover, AL",Low UHII,28,"76,027",29.4,"27.2 (26.4, 31.8)","1.030 (0.940, 1.128)","86 (19, 149)","14.67 (3.17, 25.44)"
"Birmingham-Hoover, AL",High UHII,21,"47,138",29.6,"27.1 (26.8, 27.9)","1.049 (0.956, 1.151)","19 (-31, 64)","5.31 (-8.61, 17.71)"
"Boise City, ID",Overall,26,"85,976",28.9,"25.3 (24.6, 26.4)","1.061 (0.988, 1.140)","211 (153, 268)","21.82 (15.77, 27.74)"
"Boise City, ID",Low UHII,17,"50,143",28.9,"25.6 (23.9, 33.2)","1.090 (0.989, 1.202)","159 (102, 213)","26.58 (17.05, 35.55)"
"Boise City, ID",High UHII,-,-,-,-,-,-,-
"Boston, MA",Overall,119,"592,513",26.7,"23.1 (22.5, 24.1)","0.977 (0.934, 1.022)","-429 (-535, -311)","-10.46 (-13.06, -7.59)"
"Boston, MA",Low UHII,37,"135,672",26.4,"23.2 (21.9, 31.1)","0.964 (0.889, 1.044)","-190 (-270, -113)","-18.98 (-26.86, -11.29)"
"Boston, MA",High UHII,48,"251,352",26.8,"23.2 (22.6, 24.2)","1.001 (0.950, 1.055)","-28 (-121, 68)","-1.70 (-7.36, 4.12)"
"Bridgeport-Stamford-Norwalk, CT",Overall,52,"258,241",27,"23.8 (23.3, 24.8)","0.977 (0.928, 1.030)","-202 (-283, -117)","-9.98 (-14.00, -5.76)"
"Bridgeport-Stamford-Norwalk, CT",Low UHII,14,"54,115",26.6,"23.8 (22.5, 31.1)","0.972 (0.886, 1.066)","-54 (-110, -3)","-11.50 (-23.36, -0.61)"
"Bridgeport-Stamford-Norwalk, CT",High UHII,21,"105,261",27.1,"23.9 (23.4, 24.9)","0.978 (0.919, 1.041)","-9 (-87, 58)","-1.23 (-11.79, 7.87)"
"Buffalo-Cheektowaga-Niagara Falls, NY",Overall,60,"348,457",26.2,"22.9 (22.4, 23.9)","1.049 (0.987, 1.115)","463 (345, 589)","15.72 (11.72, 19.99)"
"Buffalo-Cheektowaga-Niagara Falls, NY",Low UHII,15,"52,632",26.1,"23.2 (21.8, 29.6)","1.111 (0.991, 1.246)","164 (78, 249)","37.74 (17.95, 57.11)"
"Buffalo-Cheektowaga-Niagara Falls, NY",High UHII,26,"175,444",26.2,"22.9 (22.4, 23.9)","1.083 (1.009, 1.163)","452 (345, 552)","31.00 (23.66, 37.89)"
"Cambridge-Newton-Framingham, MA",Overall,138,"712,676",26.8,"23.1 (22.5, 24.1)","1.005 (0.963, 1.048)","-451 (-572, -339)","-8.45 (-10.71, -6.36)"
"Cambridge-Newton-Framingham, MA",Low UHII,48,"122,251",26.7,"23.4 (21.8, 32.0)","0.998 (0.918, 1.084)","-66 (-124, -9)","-6.20 (-11.59, -0.83)"
"Cambridge-Newton-Framingham, MA",High UHII,45,"274,996",26.9,"23.2 (22.6, 24.2)","1.002 (0.952, 1.055)","-4 (-101, 89)","-0.22 (-5.29, 4.66)"
"Camden, NJ",Overall,78,"431,226",29.1,"25.5 (25.0, 26.5)","1.044 (0.990, 1.101)","653 (539, 761)","23.69 (19.58, 27.62)"
"Camden, NJ",Low UHII,14,"67,363",29,"25.7 (24.5, 32.9)","1.102 (0.988, 1.230)","231 (154, 302)","52.24 (34.83, 68.44)"
"Camden, NJ",High UHII,15,"79,511",29.1,"25.5 (25.1, 26.5)","0.995 (0.920, 1.076)","-12 (-81, 55)","-2.51 (-17.32, 11.71)"
"Cape Coral-Fort Myers, FL",Overall,30,"226,329",29.4,"28.3 (28.1, 28.6)","0.965 (0.894, 1.040)","-316 (-479, -151)","-18.02 (-27.31, -8.58)"
"Cape Coral-Fort Myers, FL",Low UHII,11,"84,389",29.4,"28.4 (27.9, 30.4)","0.958 (0.854, 1.075)","-147 (-312, -8)","-21.11 (-45.00, -1.20)"
"Cape Coral-Fort Myers, FL",High UHII,6,"11,986",29.4,"28.3 (28.1, 28.6)","0.956 (0.833, 1.097)","-16 (-69, 37)","-18.98 (-82.33, 44)"
"Charleston-North Charleston, SC",Overall,36,"144,757",29.9,"27.8 (27.5, 28.4)","0.896 (0.829, 0.968)","-627 (-721, -535)","-55.10 (-63.40, -47.05)"
"Charleston-North Charleston, SC",Low UHII,13,"43,266",29.9,"28.0 (27.2, 31.9)","0.910 (0.805, 1.029)","-144 (-220, -74)","-37.62 (-57.77, -19.49)"
"Charleston-North Charleston, SC",High UHII,4,895,29.9,"27.8 (27.4, 28.4)","1.049 (0.899, 1.224)","2 (-1, 4)","24.02 (-10.23, 57.47)"
"Charlotte-Concord-Gastonia, NC-SC",Overall,107,"483,320",29,"26.2 (25.8, 26.9)","0.966 (0.929, 1.004)","-783 (-876, -699)","-21.21 (-23.75, -18.94)"
"Charlotte-Concord-Gastonia, NC-SC",Low UHII,45,"258,228",28.8,"26.3 (25.3, 33.3)","0.964 (0.918, 1.011)","-390 (-475, -311)","-19.67 (-23.95, -15.71)"
"Charlotte-Concord-Gastonia, NC-SC",High UHII,16,"8,657",29.1,"26.3 (25.9, 27.0)","1.017 (0.915, 1.130)","10 (-4, 23)","16.87 (-6.40, 40.11)"
"Chattanooga, TN-GA",Overall,37,"154,566",28.5,"26.2 (25.8, 26.9)","1.058 (0.995, 1.126)","282 (208, 352)","26.07 (19.24, 32.49)"
"Chattanooga, TN-GA",Low UHII,16,"60,513",28.4,"26.3 (25.4, 31.4)","1.057 (0.967, 1.156)","119 (58, 179)","25.74 (12.56, 38.49)"
"Chattanooga, TN-GA",High UHII,12,"25,757",28.5,"26.2 (25.8, 26.9)","1.012 (0.925, 1.108)","11 (-28, 46)","7.10 (-18.24, 29.46)"
"Chicago-Naperville-Arlington Heights, IL",Overall,258,"2,263,544",27.8,"24.4 (23.8, 25.4)","1.095 (1.062, 1.130)","7,658 (7,446, 7,858)","54.02 (52.53, 55.44)"
"Chicago-Naperville-Arlington Heights, IL",Low UHII,44,"244,145",27.6,"24.4 (23.0, 32.8)","1.048 (0.981, 1.120)","458 (346, 579)","27.83 (21.03, 35.24)"
"Chicago-Naperville-Arlington Heights, IL",High UHII,82,"890,567",27.9,"24.5 (23.9, 25.4)","1.087 (1.036, 1.140)","2,920 (2,709, 3,137)","56.23 (52.18, 60.41)"
"Cincinnati, OH-KY-IN",Overall,116,"595,491",27.6,"24.9 (24.5, 25.7)","1.052 (1.014, 1.092)","1,120 (1,022, 1,222)","26.63 (24.31, 29.06)"
"Cincinnati, OH-KY-IN",Low UHII,46,"199,768",27.6,"25.2 (24.0, 31.7)","1.075 (1.014, 1.140)","468 (394, 535)","31.2 (26.25, 35.66)"
"Cincinnati, OH-KY-IN",High UHII,20,"60,819",27.7,"25.0 (24.5, 25.7)","1.022 (0.950, 1.099)","31 (-11, 72)","7.60 (-2.77, 17.65)"
"Cleveland-Elyria, OH",Overall,84,"860,433",27,"23.9 (23.4, 24.8)","1.044 (1.001, 1.089)","1,235 (1,075, 1,388)","22.57 (19.64, 25.36)"
"Cleveland-Elyria, OH",Low UHII,24,"142,725",27,"24.1 (22.8, 30.8)","1.052 (0.967, 1.144)","286 (190, 376)","28.70 (19.06, 37.75)"
